Pleiotropy_number Dev_stage Tissue Singletons Doubletons Common_vars Singletons_control doubletons_control common_control
4,Fetal,Heart,9749,2626,18217,8578,2508,16878
4,Adult,Heart,6914,1901,13042,6063,1772,12043
4,Adult,Sm. Muscle,6525,1761,11965,5723,1654,11367
4,Fetal,Digestive,13168,3640,25372,11706,3417,23768
4,Adult,Digestive,13823,3882,26530,12090,3421,24683
4,Adult,Ovary,3297,891,6341,2898,864,5890
5,Adult, Unknown)",0,0,0,0,0,0
5,Adult,ESC,21321,5942,40136,18271,5175,37060
5,Adult,iPSC,18747,5244,35116,16012,4572,32433
5,Adult,ES-deriv,33672,9581,63208,28722,8250,57816
5,Adult,Blood & T-cell,9900,2787,18293,8721,2421,16878
5,Fetal,Blood & T-cell,3849,1124,7385,3532,1012,6948
5,Adult,HSC & B-cell,15936,4499,30550,13803,4061,28418
5,Fetal,HSC & B-cell,13152,3678,25216,11583,3447,23605
5,Adult,Mesench,26979,7767,50676,23771,6764,47265
5,Adult,Myosat,13018,3723,24056,11415,3314,22606
5,Adult,Epithelial,35941,10136,67080,31005,8945,61793
5,Adult,Neurosph,10363,2972,18230,8787,2475,17612
5,Adult,Thymus,2542,704,4709,2154,655,4206
5,Fetal,Thymus,5456,1528,10066,4651,1371,9236
5,Adult,Brain,15392,4390,27798,13347,3845,25916
5,Fetal,Brain,8144,2389,14554,6713,1989,13874
5,Adult,Adipose,6105,1760,11460,5450,1533,10749
5,Adult,Muscle,8828,2559,16571,7692,2255,15006
5,Fetal,Muscle,12423,3615,23621,10526,2959,21056
5,Fetal,Heart,9896,2868,18367,8571,2421,17171
5,Adult,Heart,8385,2479,16456,7453,2151,14639
5,Adult,Sm. Muscle,7710,2158,14237,6763,1928,13382
5,Fetal,Digestive,13982,4073,26913,11930,3470,24566
5,Adult,Digestive,14309,4074,27452,12188,3675,24509
5,Adult,Ovary,4130,1220,7825,3595,1012,7251
6,Adult, Unknown)",0,0,0,0,0,0
6,Adult,ESC,20644,5974,39370,17313,5022,35203
